id,property_id,legacy_access_id,deal_kind,status,title,closing_reason,cancellation_reason,started_on,signed_on,cancelled_on,closed_on,deed_signed_on,notes
246dddd8-9136-de4d-4ea9-2251157db448,3d57f9a8-4b97-5b36-e945-6c8d2e4ff9ba,617,cancellation,completed,RCR-115 cancellation,,,,,,2012-07-01,,
47eab1ab-949b-b7ce-eccb-ae60fa7fe918,ee8003cd-a655-6df6-a5d9-b6ca9dd5c133,618,closing,draft,RCR-121 closing,,,,,,,,
a0be5186-e5c7-5b86-876b-0063a24aae77,8c552b67-74ec-0348-9e1e-82e3a28f19c8,619,rental,completed,RCR-1227 rental,,,,2019-03-15,,2019-03-15,,
29417b5c-ffb1-524b-cceb-fa8a82111ff9,abb41b3b-52be-9a32-3c70-6f3dc70e2401,620,rental,completed,RCR-1229 rental,,,,2019-03-15,,2019-03-15,,
10c5f5a0-eff8-b8d5-efda-54ba72b90512,90012a14-791d-1559-58e5-1d21a74f9d7b,621,closing,completed,RCR-127 closing,,,,,,2012-07-15,,
9c878659-cef2-c39d-e34c-2df0546a2230,15f64f75-bfcb-0604-68e2-ed6c03f6b626,622,cancellation,completed,RCR-130 cancellation,,,,,,2012-10-20,,
c4ed0c9c-b782-d8b4-e358-a552b25f1469,61ca550e-a3ef-f50f-bf9a-93212c107b25,623,closing,completed,RCR-14 closing,,,,,,2011-05-06,,
301b0001-43b0-f407-17b1-362266859d93,558c679f-492b-71d9-19cf-7cd7bc84714a,624,cancellation,completed,RCR-145 cancellation,,,,,,2013-02-01,,
e9596416-3e05-d74c-ea10-dbb50996d56c,392adcdd-774b-bbbf-a451-b033d2de7ba8,625,closing,completed,RCR-160 closing,,,,,,2012-07-15,,
c09125d0-43eb-c2aa-c4eb-ee04235d0aff,b03a5414-7a70-ba93-1f4c-86beb90697f0,626,closing,completed,RCR-190 closing,,,,,,2012-10-15,,
25fcba2a-a2df-482f-37d1-c09b714ef223,13bbb78a-bd33-a3a0-1876-248e0ff69b3d,627,closing,completed,RCR-198 closing,,,,,,2012-08-15,,
173b1449-6379-1b15-d540-c55acf1bdb80,d89e20f2-257f-f717-a697-9988afee5657,628,cancellation,completed,RCR-208 cancellation,,,,,,2013-05-01,,
cbfd0ec6-afe1-6fea-2feb-24818fb00666,5c6462a2-1753-a219-0ddc-1e83c30a31e5,629,closing,completed,RCR-228 closing,,,,,,2012-11-15,,
662c253b-72fe-c1bd-aba9-b24c43ebb8d1,486be1af-40a0-0f3d-19c8-67e946695bba,630,closing,completed,RCR-23 closing,,,,,,2011-08-26,,
2c0b60dc-3ab2-9888-0998-1d925e53619b,2f3ba772-f3d2-9cd4-884b-82aa9483af82,631,closing,completed,RCR-232 closing,,,,,,2013-01-15,,
ea47b3a0-6276-91b4-5d2b-2110b94c4ab1,042239d2-6e50-c625-a156-c26a1a640b84,632,closing,completed,RCR-246 closing,,,,,,2013-11-15,,
8efbaa1b-7a8c-6e03-e082-e8e978c65618,2ed57bcf-ef4e-f4ce-d977-c5e5e918fa6d,633,closing,completed,RCR-247 closing,,,,,,2013-01-15,,
84a8d83a-90d4-1256-c63b-1f03005a1d47,6a8f4a11-4c7d-eb95-e0a0-a7dcb679005a,634,closing,completed,RCR-257 closing,,,,,,2013-02-15,,
6fe593a1-ae72-f191-048a-0458327a0407,ea0a1241-c6c0-3a5f-def9-1b367189b5c8,635,closing,completed,RCR-276 closing,,,,,,2013-07-15,,
38261509-0407-bd1c-ecc2-e9ddf5aa2adf,bb880f42-8ad9-6a01-4a2e-15a09c56c93c,636,closing,completed,RCR-290 closing,,,,,,2013-05-15,,
deca9da6-305c-2125-44c0-c9d293f9188d,61b15d3b-f780-2445-434a-43b45bb1e1cb,637,closing,completed,RCR-301 closing,,,,,,2013-04-15,,
f76d6a93-c655-80ac-4fae-61cc77fb76d4,689beea5-b8bf-4ed5-b34a-6b67e1722b9e,638,closing,completed,RCR-302 closing,,,,,,2013-12-15,,
44d21a00-f496-64c8-59f5-0867e6a7dc44,61957167-331c-065c-eb0f-7da403278adc,639,closing,completed,RCR-308 closing,,,,,,2013-05-15,,
08ae96a8-a442-f4aa-a989-63d68d1ca77f,bf165f7c-3c73-e410-cfc2-3cfd3596fa04,640,closing,completed,RCR-312 closing,,,,,,2013-06-15,,
4997f903-1b55-1ac9-6035-1a92cda66eca,01e42def-c518-1b4d-f4ac-a9c04bfc27f1,645,cancellation,completed,RCR-357 cancellation,,,,,,2013-12-31,,
7c686f28-c044-26d4-ac8c-e935493e693b,97032fe2-6214-ce7d-5129-71b53716cf64,651,closing,completed,RCR-37 closing,,,,,,2011-07-15,,
d5cce70e-f225-9eba-ca86-3cded5d58876,0a2735c8-8a05-dd23-57c5-40bf0f7f3a55,652,closing,completed,RCR-374 closing,,,,,,2013-09-12,,
4751cc6a-44d9-2689-ed57-1d216af52ae5,ae6c6ddc-f75c-be6b-7859-ae0441a215cd,653,closing,completed,RCR-383 closing,,,,,,2013-10-14,,
e1930995-a302-b3db-9804-7a3d24f5cc31,f6303b73-0a6b-5a96-5fcd-9e7e92bcc1f6,654,closing,completed,RCR-386 closing,,,,,,2013-10-01,,
3bbc984d-5a6b-8980-fd38-bf508e1bc06d,fc856729-e146-bd17-319c-2abe29ccbc17,657,closing,draft,RCR-392 closing,,,,,,,,
f419aff3-fa83-f758-a2c8-819fe7d5607f,28e7aacc-ebce-3117-9c25-3bf506a3cb3a,658,cancellation,completed,RCR-402 cancellation,,,,,,2013-12-31,,
e1ed3c85-a1e5-5863-697c-862b0462bb6f,3b90891f-bf03-7427-cc8b-bbade6573c96,659,closing,draft,RCR-406 closing,,,,,,,,
